Symbol,Description,Sector,Index,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Analyst rating
BDL,Bharat Dynamics Ltd.,Electronic technology,"Nifty 500, Nifty 200, Nifty MidCap 100, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty LargeMidCap 250, Nifty India Defence, Nifty 500 Equal Weight, Nifty MidCap 150 Quality 50, Nifty MidSmallcap 400 Momentum Quality 100, Nifty 500 LargeMidSmall Equal-Cap",1195,INR,-1.8963960265987942,1240303,1.1778258183770962,446143209801,INR,84.11287314089434,14.2071,INR,-7.132818679199643,0.423136964916605,Neutral
BEL,Bharat Electronics Limited,Electronic technology,"Nifty 50, Nifty 500, Nifty 200, Nifty PSE, Nifty CPSE, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty India Defence, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty 500 Multicap India Manufacturing 50:30:20, Nifty 200 Quality 30, Nifty 100 Quality 30, Nifty 100 Liquid 15, Nifty 100 Alpha 30, Nifty 500 Quality 50, Nifty 500 LargeMidSmall Equal-Cap, Nifty 500 Multicap Momentum Quality 50, Nifty Alpha Quality Low-Volatility 30",405,INR,-0.24630541871921183,8716895,0.8416103787286555,2969232241281,INR,48.16554676815127,8.4085,INR,11.746803816814177,0.615460364352536,Strong buy
BHARATFORG,Bharat Forge Ltd,Producer manufacturing,"Nifty 500, Nifty Auto, Nifty Infrastructure, Nifty 200, Nifty MidCap Select, Nifty MidCap 100, Nifty MidCap 50, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Alpha 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 200 Momentum 30, Nifty India Manufacturing, Nifty LargeMidCap 250, Nifty India Defence, Nifty EV & New Age Automotive, Nifty 500 Momentum 50, Nifty MidCap 150 Momentum 50, Nifty 500 Equal Weight, Nifty Transportation & Logistics, Nifty Mobility, Nifty 50 Value 20, Nifty 200 Alpha 30, Nifty 500 Multicap India Manufacturing 50:30:20, Nifty 500 Multicap Infrastructure 50:30:20, Nifty MidSmallcap 400 Momentum Quality 100, Nifty 500 LargeMidSmall Equal-Cap",1954.9,INR,-1.2477268134976671,403296,0.3290392724871977,944989960642,INR,132.34447882041528,14.7713,INR,-31.626697031554485,0.430031366993828,Neutral
BHARTIARTL,Bharti Airtel Limited,Communications,"Nifty 50, Nifty 500, Nifty Infrastructure, Nifty 200, Nifty India Consumption, Nifty Services Sector, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Digital, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty Rural, Nifty India New Age Consumption, Nifty Alpha Low Volatility 30, Nifty 100 Low Volatility 30, Nifty 500 Multicap Infrastructure 50:30:20, Nifty Non-Cyclical Consumer, Nifty Top 10 Equal Weight Index, Nifty 100 Liquid 15, Nifty 500 LargeMidSmall Equal-Cap, Nifty 500 Low Volatility 50, Nifty Top 20 Equal Weight, Nifty Low Volatility 50, Nifty Top 15 Equal Weight",1839,INR,1.339064308150105,4588126,0.6664577869851401,11344132987361,INR,39.00119612151237,47.1524,INR,-18.80047804538676,1.31955135254014,Strong buy
BHEL,Bharat Heavy Electricals Limited,Producer manufacturing,"Nifty 500, Nifty 200, Nifty MidCap Select, Nifty MidCap 100, Nifty Energy, Nifty MidCap 50, Nifty PSE, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Alpha 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 200 Momentum 30, Nifty India Manufacturing, Nifty LargeMidCap 250, Nifty 500 Momentum 50, Nifty MidCap 150 Momentum 50, Nifty 500 Equal Weight, Nifty 200 Alpha 30, Nifty 500 Multicap India Manufacturing 50:30:20, Nifty 500 Multicap Infrastructure 50:30:20, Nifty High Beta 50, Nifty 500 LargeMidSmall Equal-Cap",429.5,INR,-0.9684113442471729,3963862,0.5175377235987043,1508777956103,INR,61.4827433184935,6.9857,INR,739.324762705755,0.323101777059774,Neutral
BPCL,Bharat Petroleum Corporation Limited,Energy minerals,"Nifty 500, Nifty Next 50, Nifty Infrastructure, Nifty Oil and Gas, Nifty 200, Nifty Energy, Nifty PSE, Nifty Commodities, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty Mobility, Nifty 50 Value 20, Nifty Dividend Opportunities 50, Nifty 500 Value 50, Nifty 500 Multicap Infrastructure 50:30:20, Nifty 200 Value 30, Nifty 500 LargeMidSmall Equal-Cap, Nifty 500 Multifactor MQVLv 50",303,INR,-0.1811892604183862,3231631,0.6499393427944575,1316291540415,INR,7.556693909005435,40.0969,INR,-1.167107053418259,7.41595253790376,Buy
BSE,BSE Ltd.,Finance,"Nifty Financial Services, Nifty 500, Nifty Financial Services 25/50, Nifty 200, Nifty MidCap Select, Nifty MidCap 100, Nifty MidCap 50, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Services Sector, Nifty Alpha 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 200 Momentum 30, Nifty LargeMidCap 250, Nifty Capital Markets, Nifty 500 Momentum 50, Nifty MidCap 150 Momentum 50, Nifty Financial Services Ex-Bank, Nifty 500 Equal Weight, Nifty MidSmall Financial Services, Nifty 200 Alpha 30, Nifty MidCap Liquid 15, Nifty MidCap 150 Quality 50, Nifty High Beta 50, Nifty MidSmallcap 400 Momentum Quality 100, Nifty 500 Quality 50, Nifty 500 LargeMidSmall Equal-Cap, Nifty 500 Multicap Momentum Quality 50",3306,INR,0.4924311508298322,2228183,0.4620486800054778,1339932507827,INR,53.93667579750743,61.2941,INR,87.748031978436,0.303969846191258,Neutral
CANBK,Canara Bank,Finance,"Nifty Bank, Nifty 500, Nifty Next 50, Nifty PSU Bank, Nifty 200, Nifty 100, Nifty Alpha 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty Dividend Opportunities 50, Nifty 500 Value 50, Nifty 200 Value 30, Nifty 100 Alpha 30, Nifty 500 LargeMidSmall Equal-Cap, Nifty 500 Multifactor MQVLv 50",124.6,INR,0.41908446163764995,22002938,1.8820660539899836,1126574872123,INR,5.6912388721663705,21.8933,INR,7.343776813512792,3.38164251207729,Buy
CDSL,Central Depository Services (India) Limited,Finance,"Nifty 500, Nifty SmallCap 100, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty SmallCap 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty Capital Markets, Nifty Financial Services Ex-Bank, Nifty 500 Equal Weight, Nifty MidSmall Financial Services, Nifty Smallcap 250 Quality 50, Nifty High Beta 50, Nifty Smallcap 250 Momentum Quality 100, Nifty MidSmallcap 400 Momentum Quality 100, Nifty 500 Quality 50, Nifty 500 LargeMidSmall Equal-Cap",1355,INR,-0.9937162063422409,771857,0.6200133697077638,286037394897,INR,62.08618754152443,21.8245,INR,-13.38831102345018,0.931608943445857,Neutral
CIPLA,Cipla Ltd,Health technology,"Nifty 50, Nifty 500, Nifty Pharma, Nifty Healthcare, Nifty 200, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty 500 Multicap India Manufacturing 50:30:20, Nifty 100 Low Volatility 30, Nifty Growth Sectors 15, Nifty 500 LargeMidSmall Equal-Cap, Nifty 500 Multifactor MQVLv 50, Nifty 500 Low Volatility 50, Nifty Low Volatility 50, Nifty Alpha Quality Low-Volatility 30, Nifty Alpha Quality Value Low-Volatility 30, Nifty Quality Low-Volatility 30",1373.3,INR,0.7482943291027838,826221,1.1199244293877944,1105150372559,INR,32.932853717026376,41.7,INR,-37.509366102202904,0.950292397660819,Buy
COALINDIA,Coal India Ltd.,Energy minerals,"Nifty 50, Nifty 500, Nifty 200, Nifty Energy, Nifty PSE, Nifty Commodities, Nifty CPSE, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty Dividend Opportunities 50, Nifty Alpha Low Volatility 30, Nifty 500 Value 50, Nifty 200 Quality 30, Nifty 200 Value 30, Nifty 100 Quality 30, Nifty 500 Quality 50, Nifty 500 LargeMidSmall Equal-Cap, Nifty 500 Multifactor MQVLv 50, Nifty 500 Low Volatility 50, Nifty 500 Multicap Momentum Quality 50, Nifty Alpha Quality Low-Volatility 30, Nifty Alpha Quality Value Low-Volatility 30, Nifty Quality Low-Volatility 30",432,INR,0.23201856148491878,8811171,0.5718136279642081,2659217354492,INR,8.53218728151083,50.6318,INR,-5.85069786642171,6.14136732329085,Buy
COFORGE,Coforge Limited,Technology services,"Nifty 500, Nifty IT, Nifty 200, Nifty MidCap 100, Nifty MidCap 50, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Digital, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty MidSmall IT & Telecom, Nifty MidCap Liquid 15, Nifty MidCap 150 Quality 50, Nifty MidSmallcap 400 Momentum Quality 100, Nifty 500 LargeMidSmall Equal-Cap",1833.1,INR,-0.6449864498645036,2691550,0.9036151454566742,818029885420,INR,37.54044644685644,48.83,INR,65.3572637995259,0.649737397801722,Buy
CONCOR,Container Corporation of India Limited,Transportation,"Nifty 500, Nifty 200, Nifty MidCap 100, Nifty PSE, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty Transportation & Logistics, Nifty Mobility, Nifty 50 Value 20, Nifty 500 Multicap Infrastructure 50:30:20, Nifty 500 LargeMidSmall Equal-Cap",504.15,INR,-1.1470588235294163,932939,0.6617710377858392,388044330200,INR,30.88189352592021,16.3251,INR,-4.145357610489044,1.49165848871443,Buy
CUMMINSIND,Cummins India Limited,Producer manufacturing,"Nifty 500, Nifty Next 50, Nifty Infrastructure, Nifty 200, Nifty MNC, Nifty 100, Nifty Alpha 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 200 Momentum 30, Nifty India Manufacturing, Nifty LargeMidCap 250, Nifty 500 Momentum 50, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty Dividend Opportunities 50, Nifty Rural, Nifty 200 Alpha 30, Nifty Alpha Low Volatility 30, Nifty 200 Quality 30, Nifty 100 Alpha 30, Nifty 500 LargeMidSmall Equal-Cap, Nifty 500 Multifactor MQVLv 50, Nifty 500 Multicap Momentum Quality 50, Nifty Alpha Quality Low-Volatility 30",5155,INR,-0.2997775843728846,817252,2.0719151167165486,1432708263092,INR,60.366531998360564,85.395,INR,10.550987832206392,1.27696623778659,Buy
DIVISLAB,Divi's Laboratories Limited,Health technology,"Nifty 500, Nifty Next 50, Nifty Pharma, Nifty Healthcare, Nifty 200, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty 500 Multicap India Manufacturing 50:30:20, Nifty Growth Sectors 15, Nifty 100 Quality 30, Nifty 500 LargeMidSmall Equal-Cap, Nifty 500 Low Volatility 50, Nifty Low Volatility 50, Nifty Alpha Quality Low-Volatility 30, Nifty Quality Low-Volatility 30",9438.5,INR,-0.5217116357504217,338181,0.6327777848464594,2517372052719,INR,85.66242370612393,110.1825,INR,26.842939585772452,0.316363923967204,Neutral
DIXON,Dixon Technologies (India) Ltd.,Electronic technology,"Nifty 500, Nifty Consumer Durables, Nifty 200, Nifty MidCap Select, Nifty MidCap 100, Nifty MidCap 50, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty India Consumption, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty Housing, Nifty Rural, Nifty 500 Multicap India Manufacturing 50:30:20, Nifty India New Age Consumption, Nifty Core Housing, Nifty MidCap Liquid 15, Nifty 200 Quality 30, Nifty Non-Cyclical Consumer, Nifty MidCap 150 Quality 50, Nifty High Beta 50, Nifty MidSmall India Consumption, Nifty MidSmallcap 400 Momentum Quality 100, Nifty 500 Quality 50, Nifty 500 LargeMidSmall Equal-Cap",13500,INR,-2.4918743228602382,467984,1.7819727493542985,845002592249,INR,43.78194257560412,308.3463,INR,56.2261965621211,0.0578858635485482,Buy
DRREDDY,Dr. Reddy's Laboratories Ltd.,Health technology,"Nifty 50, Nifty 500, Nifty Pharma, Nifty Healthcare, Nifty 200, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty 500 Multicap India Manufacturing 50:30:20, Nifty 100 Low Volatility 30, Nifty 100 Quality 30, Nifty 500 LargeMidSmall Equal-Cap, Nifty 500 Low Volatility 50, Nifty Low Volatility 50, Nifty Alpha Quality Low-Volatility 30, Nifty Alpha Quality Value Low-Volatility 30, Nifty Quality Low-Volatility 30",1143,INR,-0.17467248908296942,1684792,2.3350816499381457,953737166491,INR,28.80508058114187,39.6805,INR,-41.71420933265961,0.699790062981106,Neutral
EICHERMOT,Eicher Motors Limited,Consumer durables,"Nifty 50, Nifty 500, Nifty Auto, Nifty 200, Nifty India Consumption, Nifty 100, Nifty Alpha 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty EV & New Age Automotive, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty Transportation & Logistics, Nifty Mobility, Nifty 50 Value 20, Nifty Rural, Nifty 200 Alpha 30, Nifty 500 Multicap India Manufacturing 50:30:20, Nifty India New Age Consumption, Nifty Alpha Low Volatility 30, Nifty Growth Sectors 15, Nifty 100 Quality 30, Nifty 100 Alpha 30, Nifty 500 LargeMidSmall Equal-Cap, Nifty 500 Low Volatility 50, Nifty 500 Multicap Momentum Quality 50, Nifty Alpha Quality Low-Volatility 30, Nifty Alpha Quality Value Low-Volatility 30, Nifty Quality Low-Volatility 30",7697,INR,-0.4848406490400155,289058,0.5252250019442144,2127461093095,INR,36.64016756319322,210.07,INR,19.26308618144658,1.05810547505065,Buy
ETERNAL,Eternal Limited,Technology services,"Nifty 50, Nifty 500, Nifty 200, Nifty India Consumption, Nifty Services Sector, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Digital, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty Transportation & Logistics, Nifty Mobility, Nifty 50 Value 20, Nifty India New Age Consumption, Nifty Non-Cyclical Consumer, Nifty 100 Liquid 15, Nifty 500 LargeMidSmall Equal-Cap, Nifty Top 20 Equal Weight",322.1,INR,0.4678727386150967,15557911,0.3385171164833052,3088112187500,INR,681.5488785442235,0.4726,INR,42.178098676293644,0,Strong buy
FEDERALBNK,Federal Bank Ltd. (India),Finance,"Nifty Bank, Nifty 500, Nifty Private Bank, Nifty 200, Nifty MidCap 100, Nifty MidCap 50, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Alpha 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 200 Momentum 30, Nifty LargeMidCap 250, Nifty 500 Momentum 50, Nifty MidCap 150 Momentum 50, Nifty 500 Equal Weight, Nifty Housing, Nifty MidSmall Financial Services, Nifty 200 Alpha 30, Nifty Alpha Low Volatility 30, Nifty 500 Value 50, Nifty 200 Value 30, Nifty MidSmallcap 400 Momentum Quality 100, Nifty 500 LargeMidSmall Equal-Cap, Nifty 500 Low Volatility 50, Nifty Alpha Quality Value Low-Volatility 30",346,INR,0.2898550724637681,5314983,1.1109597776300826,843647840798,INR,18.512573568753343,18.69,INR,14.38188494492045,0.347977381470204,Buy
HAL,Hindustan Aeronautics Limited,Electronic technology,"Nifty 500, Nifty Next 50, Nifty 200, Nifty PSE, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing, Nifty LargeMidCap 250, Nifty India Defence, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty 500 Multicap India Manufacturing 50:30:20, Nifty 200 Quality 30, Nifty 100 Quality 30, Nifty 100 Liquid 15, Nifty 500 LargeMidSmall Equal-Cap",4950,INR,-1.0098990100989902,688500,0.7514582218697591,3348556547241,INR,35.51465033136245,139.3791,INR,12.159999227476712,0.898741761533853,Buy
HCLTECH,HCL Technologies Limited,Technology services,"Nifty 50, Nifty 500, Nifty IT, Nifty 200, Nifty Services Sector, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Digital, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty Dividend Opportunities 50, Nifty 100 Low Volatility 30, Nifty 200 Quality 30, Nifty 100 Quality 30, Nifty 500 LargeMidSmall Equal-Cap, Nifty Top 20 Equal Weight, Nifty Low Volatility 50, Nifty Quality Low-Volatility 30",1207,INR,-1.8539599934948736,2197859,0.866410724030363,3328445986165,INR,18.778217889558565,64.2766,INR,2.694679661287743,4.89176959765195,Neutral
HDFCAMC,HDFC Asset Management Co. Ltd.,Finance,"Nifty 500, Nifty Next 50, Nifty 200, Nifty 100, Nifty Alpha 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty LargeMidCap 250, Nifty Capital Markets, Nifty Financial Services Ex-Bank, Nifty 500 Equal Weight, Nifty 100 Equal Weight, Nifty Dividend Opportunities 50, Nifty India New Age Consumption, Nifty 200 Quality 30, Nifty High Beta 50, Nifty 100 Quality 30, Nifty 500 Quality 50, Nifty 500 LargeMidSmall Equal-Cap, Nifty 500 Multifactor MQVLv 50, Nifty 500 Multicap Momentum Quality 50, Nifty Alpha Quality Low-Volatility 30",2433.8,INR,-0.2540983606557302,370540,0.44529977637668705,1040723123199,INR,35.5091917128684,68.54,INR,12.934585598945475,2.22496909765142,Strong buy
HDFCBANK,HDFC Bank Limited,Finance,"Nifty 50, Nifty Bank, Nifty Financial Services, Nifty 500, Nifty Financial Services 25/50, Nifty Private Bank, Nifty 200, Nifty Services Sector, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 50 Equal Weight, Nifty LargeMidCap 250, Nifty 500 Equal Weight, Nifty Housing, Nifty 100 Equal Weight, Nifty 100 Low Volatility 30, Nifty Top 10 Equal Weight Index, Nifty 500 LargeMidSmall Equal-Cap, Nifty Top 20 Equal Weight, Nifty Low Volatility 50, Nifty Top 15 Equal Weight, Nifty Quality Low-Volatility 30",693.8,INR,0.975112792897676,27108053,0.8067143560455121,10593370829102,INR,13.556076592418913,51.18,INR,11.34558903513542,1.8915969443434,Strong buy
